0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,1,11,LIGHTNING MISSILE (A281),C Y Ho,K L Man,117,1169,1,-,2 2 1,1:10.35,26
,,,2,10,SHOW MISSION (T436),G van Niekerk,C W Chang,117,1115,10,N,5 5 2,1:10.41,24
,,,3,12,NASHASHUK (V143),K Teetan,J Size,113,1109,2,1,4 4 3,1:10.51,6.8
,,,4,1,BLOOMING SPIRIT (C064),J Moreira,F C Lor,133,1105,6,1-1/4,11 10 4,1:10.55,2.3
,,,5,5,STARLOT (V367),B Shinn,P O'Sullivan,132,1189,7,1-3/4,7 7 5,1:10.65,18
,,,6,3,MULTIMAX (T129),H T Mo,L Ho,130,1202,11,2-3/4,1 1 6,1:10.77,25
,,,7,9,FOX CHEUNGER (B187),H W Lai,K W Lui,117,1014,5,2-3/4,9 9 7,1:10.80,94
,,,8,4,DIAMOND LEGEND (V341),K H Chan,A S Cruz,122,1146,9,3-1/2,12 12 8,1:10.91,14
,,,9,2,I'M THE CONQUIST (B155),A Badel,D J Whyte,133,1095,4,4,6 6 9,1:10.99,3.8
,,,10,6,ROYAL CHOCOLATE (A356),S De Sousa,W Y So,129,1164,3,5-3/4,3 3 10,1:11.26,9.2
,,,11,8,DATING (B341),N Callan,C H Yip,122,1060,12,7-1/4,10 11 11,1:11.52,136
,,,12,7,BANDY (C282),L Hewitson,R Gibson,124,1022,8,12-1/2,8 8 12,1:12.34,169
,,,1,6,CLEMENT LEGEND (B137),G van Niekerk,C S Shum,126,1125,7,-,7 7 7 7 6 1,2:16.67,5.6
,,,2,3,STIMULATION (B351),C Y Ho,A S Cruz,130,1035,8,SH,9 9 9 9 7 2,2:16.70,8.6
,,,3,4,TASHIDELEK (C084),J Moreira,J Moore,129,1119,9,N,6 6 6 6 5 3,2:16.72,2
,,,4,10,MAGNETISM (V114),K Teetan,D E Ferraris,117,1123,10,1-3/4,10 10 10 10 10 4,2:16.94,16
,,,5,7,OWNERS' STAR (B427),N Callan,C S Shum,126,1061,2,2-1/2,4 4 4 4 4 5,2:17.08,6.9
,,,6,5,GIANT TURTLE (T391),M F Poon,A T Millard,126,1064,5,4-3/4,1 3 3 3 3 6,2:17.44,13
,,,7,2,ARCATRAZ (C398),R Bayliss,J Moore,131,972,6,4-3/4,8 8 8 8 9 7,2:17.44,133
,,,8,8,CROWN AVENUE (V378),M Chadwick,C H Yip,121,1177,4,14-1/4,3 2 2 2 2 8,2:18.93,36
,,,9,1,WIND GLIDER (C433),K C Leung,P O'Sullivan,133,1165,1,18-1/2,5 5 5 5 8 9,2:19.62,42
,,,10,9,JIMMU (C266),A Badel,Y S Tsui,121,1086,3,18-3/4,2 1 1 1 1 10,2:19.67,12
,,,1,7,DOR DOR (C109),A Badel,J Size,121,1024,1,-,3 3 7 1,1:40.60,6.2
,,,2,3,WINNING ENDEAVOUR (C048),J Moreira,D J Whyte,131,1054,2,1/2,7 5 6 2,1:40.69,1.6
,,,3,6,SHINING ON (A359),C Y Ho,K W Lui,122,1027,4,3/4,8 9 9 3,1:40.73,15
,,,4,8,SANGRIA (A065),N Callan,D E Ferraris,121,1065,5,1,4 4 4 4,1:40.76,25
,,,5,4,LET'S TAKE IT EASY (A140),K C Leung,L Ho,130,1062,8,1,2 2 3 5,1:40.77,31
,,,6,2,FLASH FAMOUS (B162),C Schofield,F C Lor,131,1136,10,1,5 6 5 6,1:40.78,32
,,,7,12,PERFECT TO PLAY (B095),Z Purton,C Fownes,131,1021,6,1-3/4,9 8 1 7,1:40.89,12
,,,8,1,PRETTY BAUHINIA (A135),K Teetan,Y S Tsui,133,1043,3,3-1/2,6 7 8 8,1:41.15,9.4
,,,9,11,RAZOR QUEST (S146),M Chadwick,C W Chang,118,1086,12,4-1/4,12 12 11 9,1:41.27,46
,,,10,9,TURF BRILLIANT (C456),T H So,W Y So,117,1110,9,5-1/4,11 10 10 10,1:41.46,175
,,,11,5,INDIGENOUS STAR (A081),H W Lai,P F Yiu,125,1059,11,7-1/4,1 1 2 11,1:41.74,29
,,,12,10,HURRICANE HUNTER (A123),H N Wong,C H Yip,115,1142,7,7-1/4,10 11 12 12,1:41.77,105
,,,WV,,DASHING DART (V038),M L Yeung,P O'Sullivan,116,---,---,---,---,---,---
,,,1,10,MANAGEMENT STAR (B006),A Badel,K W Lui,117,1111,10,-,11 9 3 1,1:40.34,10
,,,2,2,CHARITY WINGS (B003),G van Niekerk,C S Shum,127,1102,4,3/4,8 7 5 2,1:40.45,6.1
,,,3,5,ENJOY LIFE (A125),K Teetan,Y S Tsui,124,1123,6,2-3/4,10 11 10 3,1:40.76,5.1
,,,4,6,ROYAL RACER (B460),Z Purton,C Fownes,122,1113,11,3-3/4,3 2 2 4,1:40.94,7.9
,,,5,11,MISCHIEVOUS SUNDAE (C016),J Moreira,J Size,117,1063,1,4-1/2,6 5 7 5,1:41.07,3
,,,6,4,ELECTRIC LIGHTNING (A189),N Callan,D E Ferraris,124,1062,2,4-3/4,5 4 4 6,1:41.10,10
,,,7,1,EXALTATION (C370),C Schofield,A S Cruz,133,1027,5,4-3/4,9 10 9 7,1:41.11,76
,,,8,9,SUPREME PLUS (C252),C Y Ho,F C Lor,119,1110,7,5-3/4,4 6 8 8,1:41.25,18
,,,9,12,GREAT SMART (C319),H W Lai,L Ho,116,1201,9,6-1/2,12 12 11 9,1:41.38,178
,,,10,7,FOREVER BRIGHT (C305),L Hewitson,P F Yiu,121,1149,12,9-3/4,1 1 1 10,1:41.91,9.9
,,,11,3,CAMFORD MAGIC (C468),T H So,W Y So,122,1100,3,22-3/4,7 8 12 11,1:43.97,261
,,,12,8,SUNNY DRAGON (V412),M Chadwick,R Gibson,121,1211,8,30,2 3 6 12,1:45.14,44
