0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,1,2,VICTORY POWER (B294),A Badel,D J Whyte,130,1121,9,-,6 5 1,1:10.28,4.9
,,,2,5,NOBLE MAN (C412),J Moreira,J Size,125,1118,6,3/4,7 9 2,1:10.38,8.6
,,,3,12,COMPASSION STAR (A121),M Chadwick,K L Man,118,1091,7,1-1/2,8 6 3,1:10.50,10
,,,4,1,GUNNAR (C222),B Shinn,C Fownes,131,1117,4,2-1/2,3 3 4,1:10.69,2.7
,,,5,10,MASTER ALBERT (A296),K Teetan,W Y So,120,1130,8,3,10 10 5,1:10.77,9.8
,,,6,11,SPEEDY MISSILE (C281),M L Yeung,K H Ting,119,1159,2,3-1/2,5 4 6,1:10.83,15
,,,7,7,LUCKY MISSILE (C501),R Bayliss,D J Hall,123,1114,10,4-1/4,11 11 7,1:10.97,44
,,,8,3,LIGHTNING TREASURE (B259),K C Leung,P F Yiu,126,1187,11,5,9 8 8,1:11.08,29
,,,9,9,GRAND HARBOUR (P421),H N Wong,C W Chang,119,1238,3,5-1/2,4 7 9,1:11.14,43
,,,10,4,LOOK ERAS (V123),C Y Ho,Y S Tsui,126,1099,1,6-1/4,1 1 10,1:11.29,5.9
,,,11,6,VITALITY FORTUNE (C348),T H So,L Ho,123,1066,12,8-1/4,12 12 11,1:11.58,230
,,,12,8,GOLDEN EFFORT (A427),L Hewitson,D E Ferraris,122,1090,5,16-1/4,2 2 12,1:12.89,55
,,,WV,,NAVAS (V362),---,R Gibson,130,---,---,---,---,---,---
,,,1,2,G UNIT (C329),G van Niekerk,J Moore,129,1011,6,-,1 3 1,0:57.28,8.1
,,,2,4,MEHBOOB (C239),M Chadwick,P O'Sullivan,125,1208,1,3/4,6 6 2,0:57.40,6.7
,,,3,12,ISLAND WINNER (C088),K C Leung,P F Yiu,117,1225,2,1-1/2,3 5 3,0:57.53,3.7
,,,4,7,DR PROACTIVE (A345),H N Wong,K H Ting,120,1107,7,1-3/4,7 7 4,0:57.54,145
,,,5,10,THE ABRAXAS (C212),J Moreira,Y S Tsui,119,1178,5,2-1/4,5 4 5,0:57.64,2.8
,,,6,9,AURORA STEED (C023),M F Poon,J Size,117,1104,10,2-1/4,9 9 6,0:57.65,64
,,,7,11,GOUTEN OF GARO (A291),L Hewitson,D E Ferraris,118,1126,11,2-1/2,2 1 7,0:57.68,15
,,,8,6,TRAVEL DATUK (V235),A Badel,R Gibson,124,1100,9,2-3/4,10 10 8,0:57.71,19
,,,9,3,GALAXY EMPEROR (D107),K Teetan,A S Cruz,125,1071,4,3,8 8 9,0:57.77,51
,,,10,5,THIS IS CHARISMA (D102),C Y Ho,K W Lui,125,1114,12,3-1/2,12 11 10,0:57.84,80
,,,11,8,JOY AVENUE (C340),T H So,C H Yip,118,1151,3,3-3/4,11 12 11,0:57.87,45
,,,12,1,BEST SMILE (B359),Z Purton,W Y So,133,1131,8,7-1/2,4 2 12,0:58.47,8
,,,1,9,MAGNIFICENT (C121),Z Purton,L Ho,124,1131,10,-,3 2 2 1,1:39.83,8.9
,,,2,3,ZHAN JIANG ROCKS (B406),K Teetan,W Y So,118,1053,3,2-3/4,8 10 11 2,1:40.27,15
,,,3,5,RACING LUCK (B223),C Y Ho,K W Lui,130,1135,11,3,11 12 10 3,1:40.30,16
,,,4,6,CHARIZARD (B463),N Callan,D E Ferraris,128,1027,4,3-1/4,4 5 4 4,1:40.36,5.5
,,,5,8,SOLAR WAI WAI (C111),G van Niekerk,F C Lor,126,1028,12,3-3/4,6 4 3 5,1:40.41,15
,,,6,7,CRAIG'S STAR (C041),B Shinn,C S Shum,127,1241,2,3-3/4,2 3 5 6,1:40.42,10
,,,7,10,PICKEN (B311),J Moreira,J Size,124,1189,1,4-1/2,7 8 6 7,1:40.56,2.5
,,,8,4,LAOS ENLIGHTENMENT (C291),L Hewitson,J Moore,130,998,6,5,5 6 7 8,1:40.61,66
,,,9,1,FLYING QUEST (A071),M F Poon,D J Hall,131,1101,7,5-1/2,12 11 9 9,1:40.69,14
,,,10,12,TANGMERE (B432),M Chadwick,C Fownes,116,1057,5,6-1/4,10 9 12 10,1:40.82,23
,,,11,11,THE RUNNER (D042),S De Sousa,D J Whyte,120,1094,9,6-3/4,1 1 1 11,1:40.90,40
,,,12,2,WAR ROOM (B414),A Badel,K H Ting,132,1112,8,7-1/2,9 7 8 12,1:41.03,11
,,,WV,,ARCADA (A240),C Schofield,A T Millard,130,---,---,---,---,---,---
,,,1,6,PRIVATE SECRETARY (D127),C Y Ho,A S Cruz,123,1002,1,-,4 5 5 1,1:39.82,11
,,,2,4,HAPPY DRAGON (B099),M Chadwick,J Moore,124,1154,10,1,8 8 8 2,1:39.97,25
,,,3,11,BAND OF BROTHERS (C135),K Teetan,P O'Sullivan,118,1169,4,1-1/4,5 7 6 3,1:40.03,3.5
,,,4,7,BUTTERFIELD (C462),G van Niekerk,C S Shum,121,1128,8,1-3/4,3 1 1 4,1:40.11,57
,,,5,10,HARMONY HERO (B217),A Badel,R Gibson,119,1273,3,3,9 10 10 5,1:40.31,10
,,,6,9,GOOD OMEN (B208),L Hewitson,D J Whyte,119,1054,9,3-1/4,11 12 12 6,1:40.34,24
,,,7,5,SUPER OASIS (D085),Z Purton,F C Lor,124,1157,12,3-1/2,10 9 9 7,1:40.39,6
,,,8,3,RACING FIGHTER (B285),T H So,C H Yip,123,1154,2,4-1/2,12 11 11 8,1:40.55,175
,,,9,8,THE HULK (C431),J Moreira,C Fownes,120,1112,7,5-1/4,2 3 4 9,1:40.64,4.1
,,,10,1,HEZTHEWONFORUS (B287),B Shinn,J Size,130,1125,6,6-1/4,1 2 2 10,1:40.83,6.5
,,,11,12,SUPER TURBO (V310),M F Poon,D J Hall,116,1058,11,10-1/2,7 6 7 11,1:41.50,33
,,,12,2,GRACEANDMERCY (C296),S De Sousa,A T Millard,126,1173,5,16,6 4 3 12,1:42.38,19
,,,1,9,WINNING METHOD (C383),G van Niekerk,C S Shum,120,1217,1,-,1 1 1,1:09.49,3.9
,,,2,4,SNAP FIT (B402),Z Purton,C Fownes,128,1189,4,1,6 5 2,1:09.65,4.3
,,,3,2,SHINING ACE (C229),B Shinn,J Size,131,1145,9,1-1/4,9 7 3,1:09.68,12
,,,4,8,BABY (C271),M L Yeung,K H Ting,120,1133,2,1-3/4,3 3 4,1:09.78,7.9
,,,5,5,AMAZING KIWI (D068),K Teetan,D J Whyte,124,1158,7,3,2 2 5,1:09.97,5.4
,,,6,6,STARLIGHT (V273),S De Sousa,C H Yip,122,1089,6,4,10 12 6,1:10.13,17
,,,7,12,POWERMAX (A009),A Badel,R Gibson,117,1135,3,4-1/4,7 9 7,1:10.17,31
,,,8,1,LE TERROIR (B403),J Moreira,L Ho,133,1132,5,4-1/2,4 4 8,1:10.22,6.3
,,,9,10,MR PICASSO (T330),M F Poon,D J Hall,117,1156,11,5,12 10 9,1:10.29,135
,,,10,7,HANDSOME REBEL (B469),N Callan,Y S Tsui,121,1051,8,5-1/4,8 8 10,1:10.31,14
,,,11,3,ANONYMA (C496),L Hewitson,D E Ferraris,130,1033,10,7-1/2,11 11 11,1:10.71,310
,,,12,11,KA YING MASTER (C240),K C Leung,T P Yung,118,1159,12,9,5 6 12,1:10.92,77
