0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,9,8,HAPPY ROCKY (S147),M L Yeung,C W Chang,127,1129,13,5,14 14 13 13 9,1:49.19,141
,,,10,11,DIONYSUS COLLIN (B436),J Moreira,K W Lui,119,1068,9,5-1/4,7 8 8 8 10,1:49.25,3.2
,,,11,10,FAMILY LEADER (C089),K H Chan,C Fownes,116,1185,6,6-1/2,8 9 10 9 11,1:49.42,23
,,,12,2,WILLIE WAY (T281),K C Leung,P O'Sullivan,131,1134,5,7-1/4,13 10 9 11 12,1:49.53,67
,,,13,13,GARLIC YEAH (V039),M Chadwick,C H Yip,115,1029,12,7-1/2,12 13 14 12 13,1:49.58,44
,,,14,12,HAY RUN (V337),H T Mo,L Ho,113,1134,10,9-1/4,11 12 12 14 14,1:49.86,170
,,,1,3,COMPUTER PATCH (D139),Z Purton,J Moore,128,1090,5,-,3 2 1,1:09.39,1.5
,,,2,1,BEAUTY APPLAUSE (C228),J Moreira,J Size,133,1149,12,SH,1 1 2,1:09.40,5.2
,,,3,12,GLENEALY GENERALS (B475),K Teetan,C H Yip,116,1095,4,3/4,5 4 3,1:09.53,13
,,,4,14,E STAR (C132),M Chadwick,K L Man,115,1038,6,1-3/4,7 8 4,1:09.66,13
,,,5,2,COOL TEAM (B264),K C Leung,P O'Sullivan,130,1030,11,2,12 11 5,1:09.70,36
,,,6,11,CHAMPION PRIDE (B049),N Callan,D E Ferraris,120,1256,2,3-3/4,6 6 6,1:10.00,74
,,,7,9,ISLAND SHINE (D040),G van Niekerk,P F Yiu,123,1175,7,4-3/4,10 10 7,1:10.14,10
,,,8,7,MAGIC SUPREME (D144),R Bayliss,J Moore,125,1087,9,5-3/4,9 9 8,1:10.29,78
,,,9,8,FORZA ANGEL (B333),L Hewitson,Y S Tsui,123,1055,1,6,2 3 9,1:10.37,65
,,,10,10,THE DRIVE (C479),M L Yeung,T P Yung,123,1136,3,6-1/2,11 12 10,1:10.43,67
,,,11,13,INTERSTELLAR (C270),H N Wong,K W Lui,113,1153,14,6-1/2,13 13 11,1:10.44,467
,,,12,6,CALIFORNIA ARGENT (C042),A Badel,A S Cruz,126,1136,8,7,8 7 12,1:10.50,72
,,,13,5,EVEN KEEL (C442),H W Lai,L Ho,127,1012,10,9,14 14 13,1:10.82,272
,,,14,4,WHISKEY NEAT (D150),M F Poon,C Fownes,126,1145,13,9-3/4,4 5 14,1:10.94,219
,,,1,4,DUKE WAI (C188),K Teetan,P O'Sullivan,128,1121,9,-,12 4 1,0:56.55,5.7
,,,2,7,TAKE WHAT YOU NEED (C474),B Shinn,J Moore,125,1047,5,1,5 9 2,0:56.70,18
,,,3,12,HONG KONG WIN (C333),A Badel,J Size,118,1230,8,1,4 1 3,0:56.70,53
,,,4,9,MASSIVE POCKET (B246),M Chadwick,K W Lui,123,1053,10,1-1/2,8 6 4,0:56.77,17
,,,5,10,LUCKY MORE (D035),Z Purton,C S Shum,122,1119,11,1-3/4,2 3 5,0:56.82,1.7
,,,6,13,STAR LUCK (C257),K H Chan,F C Lor,108,1047,1,2-1/2,1 5 6,0:56.96,39
,,,7,5,SMART LEADER (B456),M F Poon,A S Cruz,125,1155,13,3-1/2,9 8 7,0:57.12,44
,,,8,14,HAPPY VICTORY (B195),M L Yeung,T P Yung,114,1107,14,3-3/4,10 7 8,0:57.13,92
,,,9,6,CLASSIC UNICORN (C343),J Moreira,W Y So,125,1174,7,3-3/4,3 2 9,0:57.16,4.2
,,,10,2,KASI FARASI (B385),H W Lai,K H Ting,130,1052,12,4-1/2,11 10 10,0:57.25,171
,,,11,3,THE WEATHERMAN (D058),K C Leung,D J Whyte,129,995,6,6,13 11 11,0:57.49,66
,,,12,1,SEVENTH SEA (D134),L Hewitson,D E Ferraris,133,1043,2,11,7 12 12,0:58.31,242
,,,13,8,COPARTNER SPIRIT (D175),N Callan,R Gibson,124,1221,3,11-3/4,14 14 13,0:58.42,128
,,,14,11,SO GLORIOUS (C430),H T Mo,Y S Tsui,118,1006,4,17-3/4,6 13 14,0:59.37,401
,,,1,10,GLORIOUS DRAGON (C120),A Badel,A T Millard,114,1133,13,-,13 11 11 10 1,2:01.14,13
,,,2,11,CHEFANO (C297),J Moreira,J Moore,115,1025,7,1/2,7 7 7 7 2,2:01.25,2.2
,,,3,5,HELENE LEADINGSTAR (C165),K Teetan,A S Cruz,120,1044,3,2-1/2,6 6 6 4 3,2:01.53,5.8
,,,4,13,HIGH REV (C007),M F Poon,D J Hall,111,1188,4,2-1/2,5 5 5 3 4,2:01.55,8.6
,,,5,4,SAVVY SIX (B153),H T Mo,A S Cruz,120,995,11,4,12 12 12 12 5,2:01.77,30
,,,6,9,ENRICHMENT (B457),G van Niekerk,J Size,116,1054,10,4-1/4,10 13 13 13 6,2:01.83,9.2
,,,7,2,RED WARRIOR (B355),B Shinn,J Size,129,1048,8,4-1/2,9 10 10 11 7,2:01.88,24
,,,8,6,TIANCHI MONSTER (B350),C Schofield,W Y So,120,1145,6,4-3/4,8 8 8 6 8,2:01.91,21
,,,9,3,NOT USUAL TALENT (C095),M L Yeung,T P Yung,125,1110,9,5,11 9 9 8 9,2:01.96,14
,,,10,1,INSAYSHABLE (B156),H N Wong,Y S Tsui,130,1061,5,5-3/4,1 1 1 1 10,2:02.06,64
,,,11,12,CORDYCEPS (B070),H W Lai,K W Lui,113,1198,2,6-1/4,3 4 4 2 11,2:02.14,30
,,,12,7,RIGHT CHOICE (C013),K H Chan,F C Lor,108,1073,12,9-1/2,4 2 2 5 12,2:02.66,106
,,,13,8,CLASSIC BEAUTY (C049),M Chadwick,J Moore,116,1097,1,19,2 3 3 9 13,2:04.19,18
,,,1,8,SIMPLE ELEGANT (B464),G van Niekerk,P F Yiu,120,1077,11,-,1 1 1 1,1:22.44,3
,,,2,11,BEAUTY LOYAL (B383),K Teetan,A S Cruz,117,1109,3,1-1/4,3 3 3 2,1:22.65,4.5
,,,3,14,GREAT TREASURE (T380),H W Lai,Y S Tsui,114,1022,2,1-1/2,13 14 13 3,1:22.69,32
,,,4,2,FOLLOW ME (B440),J Moreira,J Size,133,1111,14,2,10 10 9 4,1:22.75,11
,,,5,7,ULTIMATE GLORY (S235),Z Purton,K L Man,121,1291,13,2-1/4,6 9 10 5,1:22.81,10
,,,6,12,UNICORNBABY (C203),M F Poon,R Gibson,115,1145,5,2-1/2,5 5 4 6,1:22.85,10
,,,7,3,GOOD BEAUTY (B384),M Chadwick,J Moore,126,1037,4,2-3/4,8 6 6 7,1:22.87,15
,,,8,4,GUY DRAGON (B377),C Schofield,W Y So,125,1153,6,3-1/2,11 8 7 8,1:23.01,8.4
,,,9,5,MORE THAN A HORSE (D141),A Badel,D J Whyte,123,1055,9,4-1/2,2 2 2 9,1:23.16,11
,,,10,6,FENRIR (C142),M L Yeung,K H Ting,121,1163,8,4-1/2,14 13 14 10,1:23.17,22
,,,11,10,MONEY BACK (C392),H N Wong,P O'Sullivan,116,1102,10,5,7 7 8 11,1:23.25,114
,,,12,1,ETHIOPIAN YARN (C209),L Hewitson,D E Ferraris,133,1165,7,8-1/4,12 12 11 12,1:23.78,193
,,,13,13,E MASTER (A254),H T Mo,C Fownes,113,1140,1,8-1/2,9 11 12 13,1:23.81,115
,,,14,9,BIG BANG BONG (V186),K C Leung,C W Chang,119,1098,12,10,4 4 5 14,1:24.04,54
