0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,1,2,RICH AND LUCKY (C413),Z Purton,L Ho,120,1066,5,-,3 4 3 1,1:22.73,1.7
,,,2,7,KING DRAGON (C437),S De Sousa,K L Man,120,1078,4,3/4,2 2 1 2,1:22.87,11
,,,3,6,INVALUABLE (D091),C Schofield,R Gibson,120,1297,1,1-1/2,6 6 7 3,1:22.97,6.3
,,,4,8,KELMIMI WINS (C419),A Badel,C H Yip,120,1087,3,3-1/4,5 7 5 4,1:23.24,26
,,,5,5,VICTORY FOR ALL (C342),T H So,Y S Tsui,120,1022,2,5,4 3 4 5,1:23.51,147
,,,6,3,LUCKY QUALITY (D050),C Y Ho,C Fownes,120,1090,7,5-1/4,7 5 6 6,1:23.59,3.9
,,,7,4,WILLFUL (C047),L Hewitson,Y S Tsui,120,1114,6,10,8 8 8 7,1:24.31,65
,,,8,1,NOBLE CONSORT (C538),H W Lai,C S Shum,120,1172,8,11-1/2,1 1 2 8,1:24.55,17
,,,1,8,KEEP WINNING (B331),K C Leung,C W Chang,120,1126,8,-,10 10 5 1,1:40.41,9.3
,,,2,1,SUPER RED DRAGON (C191),C Schofield,W Y So,133,1120,5,1-1/2,6 5 3 2,1:40.66,4.4
,,,3,6,MI BLANCO (A186),A Badel,P O'Sullivan,116,1123,14,2,13 12 13 3,1:40.74,14
,,,4,5,HIDDEN SPIRIT (B130),K Teetan,P O'Sullivan,126,1155,2,2-1/2,12 13 12 4,1:40.80,6.5
,,,5,7,SKY GEM (C251),R Bayliss,C Fownes,124,1182,9,3,14 14 14 5,1:40.87,38
,,,6,10,MASTER BERNINI (A174),S De Sousa,A T Millard,117,1045,6,3,11 9 6 6,1:40.89,4.2
,,,7,14,OUR GREEN (B448),T H So,C H Yip,111,1187,4,3-1/4,7 6 4 7,1:40.92,41
,,,8,13,KEEP GOING (B231),H W Lai,Y S Tsui,113,1067,13,7,8 8 8 8,1:41.54,36
,,,9,11,SUNNY MAJOR (B298),H N Wong,D E Ferraris,113,1159,3,8-1/2,3 1 1 9,1:41.77,39
,,,10,3,CORRE RAPIDO (A053),M F Poon,R Gibson,127,1143,12,10-1/2,9 11 9 10,1:42.08,38
,,,11,2,ASSOCIATION FANS (V207),H T Mo,L Ho,127,1182,10,12-1/2,2 3 7 11,1:42.42,24
,,,12,9,TRIUMPHANT LORD (C101),G van Niekerk,C S Shum,120,1157,1,14-3/4,1 2 2 12,1:42.77,13
,,,13,12,WINNING CIRCLE (B275),M L Yeung,C W Chang,113,1148,7,16-1/4,5 7 10 13,1:43.02,7.3
,,,14,4,BOND ELEGANCE (A007),M Chadwick,D J Whyte,127,1069,11,34,4 4 11 14,1:45.84,24
,,,WV,,DRAGON WARRIOR (V202),A Badel,K H Ting,125,---,---,---,---,---,---
